Asset,Date,Benchmark_Cumulative_Squared_Error,Extended_Cumulative_Squared_Error,Benchmark_Minus_Extended_Cumulative_Loss,Extended_Loss_Lower
ETH,2025-01-20,0.4062146624980223,0.4081094383118381,-0.0018947758138158077,False
ETH,2025-01-21,0.40642117784069076,0.4083284604292164,-0.0019072825885256273,False
ETH,2025-01-22,0.40683840417764994,0.408733162757639,-0.0018947585799890532,False
ETH,2025-01-23,0.4068700899911356,0.40877281590184783,-0.0019027259107122219,False
ETH,2025-01-24,0.4074829329782008,0.409379411825797,-0.0018964788475961947,False
ETH,2025-01-25,0.4075093244714348,0.4094023660892819,-0.001893041617847091,False
ETH,2025-01-26,0.40763854788114723,0.4095368136123976,-0.0018982657312503481,False
ETH,2025-01-27,0.4094225816598966,0.411272733036744,-0.0018501513768474087,False
ETH,2025-01-28,0.41064245475442507,0.412536388185662,-0.0018939334312369493,False
ETH,2025-01-29,0.41107121955231374,0.41298013976499626,-0.0019089202126825189,False
ETH,2025-01-30,0.41220815847107706,0.4141930236029918,-0.0019848651319147592,False
ETH,2025-01-31,0.4126466993016068,0.4146050507653371,-0.0019583514637303012,False
ETH,2025-02-01,0.41527328282453335,0.41728728722392594,-0.0020140043993925882,False
ETH,2025-02-02,0.42227562773791766,0.4243492746543561,-0.002073646916438465,False
ETH,2025-02-03,0.4236452168104111,0.42578105323440685,-0.0021358364239957295,False
ETH,2025-02-04,0.4282743621570095,0.4304814969288033,-0.002207134771793795,False
ETH,2025-02-05,0.4307986858674707,0.43299116685038835,-0.002192480982917633,False
ETH,2025-02-06,0.43161833904596536,0.4338652398839413,-0.0022469008379759625,False
ETH,2025-02-07,0.43389320527532294,0.436231733727465,-0.0023385284521420524,False
ETH,2025-02-08,0.43420429268828575,0.4365230396304669,-0.002318746942181149,False
ETH,2025-02-09,0.435093713120733,0.4374740656732471,-0.0023803525525140645,False
ETH,2025-02-10,0.43674789404992004,0.4390396672302352,-0.0022917731803151487,False
ETH,2025-02-11,0.4370479487519087,0.43935794814290496,-0.0023099993909962424,False
ETH,2025-02-12,0.43760540632271805,0.4399640159990202,-0.002358609676302137,False
ETH,2025-02-13,0.43761428236668076,0.4399746684497473,-0.0023603860830665457,False
ETH,2025-02-14,0.43827743876847336,0.4406211859379475,-0.002343747169474164,False
ETH,2025-02-15,0.43845773469150917,0.440818215223727,-0.0023604805322178235,False
ETH,2025-02-16,0.4384831043467422,0.4408488238897614,-0.0023657195430191735,False
ETH,2025-02-17,0.4396133820990156,0.44196684422171784,-0.00235346212270221,False
ETH,2025-02-18,0.44150208799656854,0.4438886276237826,-0.0023865396272140793,False
ETH,2025-02-19,0.4417987838534419,0.44419674278232196,-0.002397958928880062,False
ETH,2025-02-20,0.4418404671686378,0.444225849965605,-0.002385382796967206,False
ETH,2025-02-21,0.4427443241271584,0.4451546692056094,-0.002410345078451004,False
ETH,2025-02-22,0.4448465047641842,0.4473407951392792,-0.0024942903750950207,False
ETH,2025-02-23,0.4452116883307491,0.44769493090013135,-0.00248324256938226,False
ETH,2025-02-24,0.4489259572688753,0.451383899484653,-0.0024579422157777198,False
ETH,2025-02-25,0.4516796569938349,0.4541898718114393,-0.002510214817604439,False
ETH,2025-02-26,0.45714637702250127,0.4596640033672141,-0.002517626344712809,False
ETH,2025-02-27,0.4582397558180828,0.46076222413636747,-0.0025224683182846763,False
ETH,2025-02-28,0.4587763421834781,0.4612975896241667,-0.002521247440688601,False
ETH,2025-03-01,0.4587918874059496,0.4613139489829575,-0.002522061577007906,False
ETH,2025-03-02,0.47343326200920177,0.4756659888381278,-0.0022327268289260016,False
ETH,2025-03-03,0.504969957060221,0.5072399610537839,-0.002270003993562919,False
ETH,2025-03-04,0.5055449971962606,0.5077868008053192,-0.002241803609058679,False
ETH,2025-03-05,0.5067515392237981,0.5089911807498714,-0.002239641526073255,False
ETH,2025-03-06,0.5068116318060393,0.5090647446941858,-0.002253112888146558,False
ETH,2025-03-07,0.5075236328999637,0.50977909018487,-0.0022554572849062815,False
ETH,2025-03-08,0.5085662571273148,0.5107528884201143,-0.0021866312927995013,False
ETH,2025-03-09,0.5145438991586592,0.5168475091069379,-0.0023036099482787176,False
ETH,2025-03-10,0.5239103917661678,0.5262384987796339,-0.0023281070134660853,False
ETH,2025-03-11,0.5250513120417949,0.5273395945456317,-0.002288282503836836,False
ETH,2025-03-12,0.5253851823157628,0.5277075693590707,-0.002322387043307894,False
ETH,2025-03-13,0.5264619652932081,0.5288226488864219,-0.0023606835932138415,False
ETH,2025-03-14,0.5281252549784562,0.5304901363484174,-0.002364881369961158,False
ETH,2025-03-15,0.5281965559634387,0.530549266166425,-0.002352710202986219,False
ETH,2025-03-16,0.529038544485462,0.531441706096112,-0.0024031616106500175,False
ETH,2025-03-17,0.5292651255176968,0.5316717841061143,-0.0024066585884174874,False
ETH,2025-03-18,0.5295005095887679,0.5319355398223715,-0.0024350302336035856,False
ETH,2025-03-19,0.5337845214353641,0.5361879309916501,-0.0024034095562859292,False
ETH,2025-03-20,0.534553244137504,0.537007838092184,-0.002454593954679951,False
ETH,2025-03-21,0.5345966606168244,0.5370540508766438,-0.002457390259819392,False
ETH,2025-03-22,0.5346748410596235,0.5371276753382609,-0.0024528342786374058,False
ETH,2025-03-23,0.5346750444184568,0.5371282437722996,-0.0024531993538428054,False
ETH,2025-03-24,0.5366838498360587,0.5390574512537595,-0.0023736014177008213,False
ETH,2025-03-25,0.5367601072862088,0.5391499962155758,-0.002389888929366979,False
ETH,2025-03-26,0.5376000943768291,0.5400185290153903,-0.0024184346385611732,False
