Asset,Model,Date,Actual_Return,Predicted_Return,Forecast_Error,Squared_Error,Absolute_Error,Actual_Direction,Predicted_Direction,Direction_Correct,Training_Observations
BTC,Cross_Crypto,2024-03-05,-0.0639026739485315,-0.012494599615173102,-0.051408074333358394,0.002642790106664102,0.051408074333358394,0,0,1,789
BTC,Cross_Crypto,2024-03-06,0.0485709262478393,0.012193835681139173,0.036377090566700125,0.0013232927180979032,0.036377090566700125,1,1,1,790
BTC,Cross_Crypto,2024-03-07,0.0130996287460495,-0.003181877477970746,0.016281506224020248,0.0002650874449228101,0.016281506224020248,1,0,0,791
BTC,Cross_Crypto,2024-03-08,0.0158720046586772,-0.001702913957049787,0.01757491861572699,0.00030887776434942706,0.01757491861572699,1,0,0,792
BTC,Cross_Crypto,2024-03-11,0.0384551390662724,-0.0010386984698824014,0.0394938375361548,0.0015597632033321897,0.0394938375361548,1,0,0,793
BTC,Cross_Crypto,2024-03-12,-0.0151119845397079,-0.006547874434544285,-0.008564110105163615,7.334398189336556e-05,0.008564110105163615,0,0,1,794
BTC,Cross_Crypto,2024-03-13,0.0289650139705572,-0.0018576275605380263,0.030822641531095225,0.0009500352309543961,0.030822641531095225,1,0,0,795
BTC,Cross_Crypto,2024-03-14,-0.0344861760711693,-0.005131101312029124,-0.029355074759140176,0.0008617204141147086,0.029355074759140176,0,0,1,796
BTC,Cross_Crypto,2024-03-15,-0.0406201072419309,-0.0006930750228528251,-0.039927032219078076,0.0015941679018232988,0.039927032219078076,0,0,1,797
BTC,Cross_Crypto,2024-03-18,-0.0130368983299158,-0.0036386292489215544,-0.009398269080994245,8.832746171877241e-05,0.009398269080994245,0,0,1,798
BTC,Cross_Crypto,2024-03-19,-0.0552806436597765,-0.0014349045916339231,-0.05384573906814258,0.002899363615794496,0.05384573906814258,0,0,1,799
BTC,Cross_Crypto,2024-03-20,0.0509143604426563,0.005531061872089418,0.04538329857056688,0.002059643789145218,0.04538329857056688,1,1,1,800
BTC,Cross_Crypto,2024-03-21,-0.024189556045524,-0.005896139939694248,-0.01829341610582975,0.00033464907282103134,0.01829341610582975,0,0,1,801
BTC,Cross_Crypto,2024-03-22,-0.030418267244856,0.006087006329985614,-0.03650527357484161,0.001332634998774029,0.03650527357484161,0,1,0,802
BTC,Cross_Crypto,2024-03-25,0.0702696771695903,-0.00079705824655249,0.07106673541614279,0.005050480882708044,0.07106673541614279,1,0,0,803
BTC,Cross_Crypto,2024-03-26,-0.01624502386136,-0.009899815217676008,-0.006345208643683993,4.0261672731882055e-05,0.006345208643683993,0,0,1,804
BTC,Cross_Crypto,2024-03-27,-0.0138229616432781,0.0033245790226134886,-0.017147540665891588,0.0002940381508884057,0.017147540665891588,0,1,0,805
BTC,Cross_Crypto,2024-03-28,0.0263831247700204,0.003292285309267187,0.023090839460753212,0.0005331868670022776,0.023090839460753212,1,1,1,806
BTC,Cross_Crypto,2024-04-01,-0.0153763839696944,0.0024829975052199638,-0.017859381474914365,0.00031895750666651444,0.017859381474914365,0,1,0,807
BTC,Cross_Crypto,2024-04-02,-0.0604915918986163,-0.0039729049428476465,-0.05651868695576865,0.0031943619752041732,0.05651868695576865,0,0,1,808
BTC,Cross_Crypto,2024-04-03,0.001004543359742,0.005674213881341601,-0.004669670521599601,2.180582278029629e-05,0.004669670521599601,1,1,1,809
BTC,Cross_Crypto,2024-04-04,0.0332365350980435,0.002159102538102531,0.03107743255994097,0.0009658068145176792,0.03107743255994097,1,1,1,810
BTC,Cross_Crypto,2024-04-05,-0.004570511889834,-0.004252337070201229,-0.00031817481963277144,1.0123521584834663e-07,0.00031817481963277144,0,0,1,811
BTC,Cross_Crypto,2024-04-08,0.0338188882276003,-0.0029050355384699217,0.03672392376607022,0.001348646576776137,0.03672392376607022,1,0,0,812
BTC,Cross_Crypto,2024-04-09,-0.0363839147837078,-0.0004990777184869927,-0.03588483706522081,0.0012877215311974453,0.03588483706522081,0,0,1,813
BTC,Cross_Crypto,2024-04-10,0.0095073964286869,0.006921091104289484,0.0025863053243974157,6.688975231006422e-06,0.0025863053243974157,1,1,1,814
BTC,Cross_Crypto,2024-04-11,0.0101130102786856,-0.009742895988200218,0.01985590626688582,0.0003942570136793555,0.01985590626688582,1,0,0,815
BTC,Cross_Crypto,2024-04-12,-0.0489131995699212,-0.0002432993512483661,-0.04866990021867283,0.00236875918729557,0.04866990021867283,0,0,1,816
