Asset,Period,Start_Date,End_Date,N,Variable,Coefficient,HAC_SE,T_Statistic,P_Value,CI_95_Lower,CI_95_Upper,Sign,Significance,Significant_5pct,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,2024,2024-01-01,2024-12-31,366,Lagged_Log_BTC_Volume,0.002853759442006468,0.0027009112207206595,1.0565913533600062,0.2914105957820607,-0.002457886376953119,0.008165405260966055,Positive,,False,0.00805465430992347,-0.011340925075078001,7
BTC,2024,2024-01-01,2024-12-31,366,Lagged_SP500_Return_Aligned,0.19905376666555663,0.26325297767987554,0.7561311116777288,0.45006784444720666,-0.31866283486304714,0.7167703681941604,Positive,,False,0.00805465430992347,-0.011340925075078001,7
BTC,2024,2024-01-01,2024-12-31,366,Lagged_VIX_Change_Aligned,0.0007312864133750285,0.00113489328331056,0.6443657955590475,0.5197508991795879,-0.0015006089251372156,0.0029631817518872726,Positive,,False,0.00805465430992347,-0.011340925075078001,7
BTC,2024,2024-01-01,2024-12-31,366,Lagged_Gold_Return_Aligned,0.039826540595053556,0.1551406195801635,0.2567125276592993,0.7975481655928646,-0.26527494405274654,0.3449280252428537,Positive,,False,0.00805465430992347,-0.011340925075078001,7
BTC,2024,2024-01-01,2024-12-31,366,Lagged_DXY_Return_Aligned,0.0950657573016989,0.5024892976487438,0.18918961607049573,0.8500514167408836,-0.893135986040214,1.0832675006436119,Positive,,False,0.00805465430992347,-0.011340925075078001,7
BTC,2024,2024-01-01,2024-12-31,366,Lagged_US10Y_Change_Aligned,0.02860357224448578,0.03872262285668735,0.7386785846182932,0.4605861836241213,-0.04754882262800928,0.10475596711698085,Positive,,False,0.00805465430992347,-0.011340925075078001,7
BTC,2025,2025-01-01,2025-12-31,365,const,0.04815271781367089,0.05688778095827434,0.8464509777414172,0.3978682357340611,-0.06372456736599427,0.16003000299333606,Positive,,False,0.027004896494607356,0.007926561131756604,7
BTC,2025,2025-01-01,2025-12-31,365,BTC_Lagged_Return,-0.1153944185201022,0.06371835534982244,-1.8110074857797434,0.07098010256941843,-0.24070492444192737,0.009916087401722964,Negative,*,False,0.027004896494607356,0.007926561131756604,7
BTC,2025,2025-01-01,2025-12-31,365,Lagged_Log_BTC_Volume,-0.0019731685603796983,0.0023252316121901108,-0.8485901146515,0.3966780361239337,-0.006546041606290414,0.0025997044855310177,Negative,,False,0.027004896494607356,0.007926561131756604,7
BTC,2025,2025-01-01,2025-12-31,365,Lagged_SP500_Return_Aligned,-0.181682305292087,0.20685538349711688,-0.8783059073471939,0.38036846382802136,-0.5884905572685579,0.22512594668438385,Negative,,False,0.027004896494607356,0.007926561131756604,7
BTC,2025,2025-01-01,2025-12-31,365,Lagged_VIX_Change_Aligned,-0.0005242985016897852,0.0010708985047676316,-0.48958748131182594,0.6247265282422488,-0.0026303609178744167,0.0015817639144948465,Negative,,False,0.027004896494607356,0.007926561131756604,7
BTC,2025,2025-01-01,2025-12-31,365,Lagged_Gold_Return_Aligned,0.0691750640843286,0.0833561377420953,0.8298736716707883,0.40716479008614553,-0.09475571747468435,0.23310584564334152,Positive,,False,0.027004896494607356,0.007926561131756604,7
BTC,2025,2025-01-01,2025-12-31,365,Lagged_DXY_Return_Aligned,-0.2234677586437466,0.34191699860897606,-0.6535731173146772,0.5138075969964936,-0.8958923974112344,0.44895688012374124,Negative,,False,0.027004896494607356,0.007926561131756604,7
