Asset,Window_Start,Window_End,N,R_Squared,Adjusted_R_Squared,HAC_Maxlags
ETH,2021-05-05,2022-05-04,365,0.023237659627030283,0.004085456874619142,7
ETH,2021-05-12,2022-05-11,365,0.025467150513196146,0.006358663268356879,7
ETH,2021-05-19,2022-05-18,365,0.02343658511829072,0.0042882828657082595,7
ETH,2021-05-26,2022-05-25,365,0.008824795399547392,-0.010610012533794677,7
ETH,2021-06-02,2022-06-01,365,0.009406616258920253,-0.010016783422277298,7
ETH,2021-06-09,2022-06-08,365,0.0060739908521388886,-0.01341475442527007,7
ETH,2021-06-16,2022-06-15,365,0.011474900674320776,-0.00790794441049636,7
ETH,2021-06-23,2022-06-22,365,0.008456971441143324,-0.010985048726677382,7
ETH,2021-06-30,2022-06-29,365,0.013162232663906037,-0.006187527479938781,7
ETH,2021-07-07,2022-07-06,365,0.012690859895011397,-0.00666814285214512,7
ETH,2021-07-14,2022-07-13,365,0.013215024831785382,-0.006133700171512935,7
ETH,2021-07-21,2022-07-20,365,0.01320669993930601,-0.006142188297178164,7
ETH,2021-07-28,2022-07-27,365,0.01132192113620567,-0.008063923547398044,7
ETH,2021-08-04,2022-08-03,365,0.012015690303667115,-0.007356551062927652,7
ETH,2021-08-11,2022-08-10,365,0.010276340995855837,-0.009130005259127216,7
ETH,2021-08-18,2022-08-17,365,0.010147048307136752,-0.00926183309860562,7
ETH,2021-08-25,2022-08-24,365,0.010166692489288143,-0.009241803736411924,7
ETH,2021-09-01,2022-08-31,365,0.007286523272759027,-0.012178446859147485,7
ETH,2021-09-08,2022-09-07,365,0.0070636908071306515,-0.012405648588807994,7
ETH,2021-09-15,2022-09-14,365,0.006290109444731629,-0.013194398213214775,7
ETH,2021-09-22,2022-09-21,365,0.00742396798061995,-0.012038307157014927,7
ETH,2021-09-29,2022-09-28,365,0.00873137633482457,-0.010705263344884752,7
ETH,2021-10-06,2022-10-05,365,0.011277799402269362,-0.00810891041337225,7
ETH,2021-10-13,2022-10-12,365,0.011191885822513625,-0.008196508573123262,7
ETH,2021-10-20,2022-10-19,365,0.011276670657081933,-0.00811006129081826,7
ETH,2021-10-27,2022-10-26,365,0.01337830302259635,-0.005967220447548716,7
ETH,2021-11-03,2022-11-02,365,0.014395605557524505,-0.0049299708040926316,7
ETH,2021-11-10,2022-11-09,365,0.015691935951236302,-0.0036082221673667814,7
ETH,2021-11-17,2022-11-16,365,0.011332236975149068,-0.008053405437102867,7
ETH,2021-11-24,2022-11-23,365,0.009303817588963037,-0.010121597752429823,7
ETH,2021-12-01,2022-11-30,365,0.009410222681792035,-0.010013106285231554,7
ETH,2021-12-08,2022-12-07,365,0.010192081897526184,-0.009215916496639887,7
ETH,2021-12-15,2022-12-14,365,0.011522783279773963,-0.007859122930426565,7
ETH,2021-12-22,2022-12-21,365,0.00927524661141288,-0.010150728945226062,7
ETH,2021-12-29,2022-12-28,365,0.009792641458950424,-0.009623189100677942,7
ETH,2022-01-05,2023-01-04,365,0.010592048639789575,-0.008808107269234089,7
ETH,2022-01-12,2023-01-11,365,0.01092344581777882,-0.008470212107362762,7
ETH,2022-01-19,2023-01-18,365,0.01154464837371505,-0.007836829109153287,7
ETH,2022-01-26,2023-01-25,365,0.012048160922395246,-0.007323443765400839,7
ETH,2022-02-02,2023-02-01,365,0.011580484000996316,-0.007800290822513434,7
ETH,2022-02-09,2023-02-08,365,0.012544086442382363,-0.006817794215610018,7
ETH,2022-02-16,2023-02-15,365,0.011867778294903708,-0.007507363307156956,7
ETH,2022-02-23,2023-02-22,365,0.011433788378854337,-0.007949862829403243,7
ETH,2022-03-02,2023-03-01,365,0.012402088131335143,-0.006962576807266085,7
ETH,2022-03-09,2023-03-08,365,0.012845959688118191,-0.006510001886624428,7
ETH,2022-03-16,2023-03-15,365,0.014503582346666155,-0.004819876823006997,7
ETH,2022-03-23,2023-03-22,365,0.01625538071719812,-0.003033729464817503,7
ETH,2022-03-30,2023-03-29,365,0.018790682381928492,-0.0004487160027395465,7
