Asset,Window_Start,Window_End,N,Variable,Coefficient,HAC_SE,T_Statistic,P_Value,CI_95_Lower,CI_95_Upper,Sign,Significance,Significant_5pct,R_Squared,Adjusted_R_Squared,HAC_Maxlags
BTC,2023-07-05,2024-07-03,365,Lagged_DXY_Return_Aligned,-0.5113961640103577,0.3900955285242698,-1.3109511045793523,0.19071691332987,-1.2785702030897301,0.25577787506901484,Negative,,False,0.10653756946245452,0.08901869827544384,7
BTC,2023-07-05,2024-07-03,365,Lagged_US10Y_Change_Aligned,-0.0211251033053547,0.0250771742670397,-0.8424036568235113,0.40012603935014224,-0.0704426567362324,0.028192450125522996,Negative,,False,0.10653756946245452,0.08901869827544384,7
BTC,2023-07-12,2024-07-10,365,const,-0.03687479919997484,0.0794029987797248,-0.4644005864598486,0.6426438472832268,-0.193031214320396,0.1192816159204463,Negative,,False,0.10348682417463229,0.08590813445256629,7
BTC,2023-07-12,2024-07-10,365,BTC_Lagged_Return,-0.31059719974482985,0.12953272699089782,-2.3978280003836816,0.017005570497372714,-0.5653403026317172,-0.05585409685794257,Negative,**,True,0.10348682417463229,0.08590813445256629,7
BTC,2023-07-12,2024-07-10,365,Lagged_Log_BTC_Volume,0.0016569987434164463,0.003358986669899285,0.493303161416276,0.6221017062160383,-0.004948889256656033,0.008262886743488925,Positive,,False,0.10348682417463229,0.08590813445256629,7
BTC,2023-07-12,2024-07-10,365,Lagged_SP500_Return_Aligned,-0.3418327575058778,0.3067178006344293,-1.1144862045789814,0.265820382440164,-0.9450335551679748,0.2613680401562192,Negative,,False,0.10348682417463229,0.08590813445256629,7
BTC,2023-07-12,2024-07-10,365,Lagged_VIX_Change_Aligned,-0.0028340727050353825,0.0028857845417303123,-0.9820804928617701,0.32672527155044084,-0.008509346633878485,0.0028412012238077213,Negative,,False,0.10348682417463229,0.08590813445256629,7
BTC,2023-07-12,2024-07-10,365,Lagged_Gold_Return_Aligned,0.06765683011984651,0.17948244355907653,0.3769551426771015,0.7064309044281001,-0.2853189440192451,0.42063260425893817,Positive,,False,0.10348682417463229,0.08590813445256629,7
BTC,2023-07-12,2024-07-10,365,Lagged_DXY_Return_Aligned,-0.5599506251027834,0.4148373490417381,-1.3498076448426175,0.1779329366962362,-1.3757827004646255,0.2558814502590586,Negative,,False,0.10348682417463229,0.08590813445256629,7
BTC,2023-07-12,2024-07-10,365,Lagged_US10Y_Change_Aligned,-0.01709196027335612,0.025743593186165467,-0.6639306389653985,0.5071632516285126,-0.06772011394576623,0.03353619339905399,Negative,,False,0.10348682417463229,0.08590813445256629,7
BTC,2023-07-19,2024-07-17,365,const,-0.036202573663803445,0.08042163388419865,-0.4501596388346516,0.6528685682575073,-0.19436226836654522,0.12195712103893833,Negative,,False,0.09789927453651459,0.08021102501762278,7
