Asset,Lag_Days,Information_Horizon,Specification,Model,Variable,Coefficient,HAC_Std_Error,z_statistic,p_value,CI_95_Lower,CI_95_Upper
ETH,3,t-3,Robustness,Baseline,ETH_Return_Lag_3,-0.015400885308884983,0.04673294581061765,-0.32955092048543466,0.7417393123407173,-0.10699577598915758,0.0761940053713876
ETH,3,t-3,Robustness,Baseline,Log_ETH_Volume_Lag_3,-0.0016506089497346527,0.0013355355265451182,-1.235915418891622,0.21649000501476134,-0.004268210481836822,0.0009669925823675163
ETH,3,t-3,Robustness,Baseline,SP500_Aligned_Lag_3,0.029373941362417867,0.15491341840005501,0.18961521645956678,0.8496106625226749,-0.2742507794236745,0.33299866214851026
ETH,3,t-3,Robustness,Baseline,VIX_Aligned_Lag_3,-0.00023893190331678772,0.0009509818537694633,-0.25124759465148483,0.8016226891813907,-0.002102822086656072,0.0016249582800224966
ETH,3,t-3,Robustness,Baseline,Gold_Aligned_Lag_3,-0.07454514108726154,0.12001451967533758,-0.6211343534842327,0.5345112277104047,-0.3097692772727969,0.16067899509827382
ETH,3,t-3,Robustness,Baseline,DXY_Aligned_Lag_3,0.34190244681125836,0.38274054561240667,0.8933008293234127,0.37169609399507075,-0.4082552380122685,1.0920601316347853
ETH,3,t-3,Robustness,Baseline,US10Y_Aligned_Lag_3,-0.025886025699127783,0.01974049559907772,-1.31131589727348,0.189751059664084,-0.06457668611029155,0.012804634712035988
ETH,3,t-3,Robustness,Cross_Crypto,const,0.03845325353790671,0.030565565741768438,1.2580579683287065,0.20837079266117908,-0.021454154483050727,0.09836066155886415
ETH,3,t-3,Robustness,Cross_Crypto,ETH_Return_Lag_3,-0.027960680986546967,0.05206947243884721,-0.5369879831101666,0.5912759147592699,-0.13001497166068846,0.07409360968759453
ETH,3,t-3,Robustness,Cross_Crypto,BTC_Return_Lag_3,0.020783259313947335,0.04030345862395432,0.5156693748758036,0.6060853476424115,-0.05821006804140337,0.09977658666929805
ETH,3,t-3,Robustness,Cross_Crypto,Log_ETH_Volume_Lag_3,-0.0016098299823027996,0.0013161785649544039,-1.2231091017339037,0.22128849135285278,-0.004189492566837044,0.0009698326022314443
ETH,3,t-3,Robustness,Cross_Crypto,SP500_Aligned_Lag_3,0.025781965147708766,0.15460702050545794,0.1667580493008635,0.8675604282105684,-0.2772422268000344,0.3288061570954519
ETH,3,t-3,Robustness,Cross_Crypto,VIX_Aligned_Lag_3,-0.00024817597835768805,0.0009501369888268693,-0.26120020720813114,0.7939381183338766,-0.0021104102568376875,0.0016140583001223116
ETH,3,t-3,Robustness,Cross_Crypto,Gold_Aligned_Lag_3,-0.07570721825748362,0.1200738027597968,-0.630505709966837,0.5283637681328929,-0.3110475471534515,0.15963311063848423
ETH,3,t-3,Robustness,Cross_Crypto,DXY_Aligned_Lag_3,0.3435318074684512,0.38319872767138985,0.8964847288403451,0.36999393281010773,-0.4075238976890451,1.0945875126259474
ETH,3,t-3,Robustness,Cross_Crypto,US10Y_Aligned_Lag_3,-0.026182747882450313,0.019761541891829378,-1.3249344623900958,0.18519288935400824,-0.06491465826941542,0.012549162504514794
BTC,7,t-7,Robustness,Baseline,const,0.034814683987047915,0.028953072567199565,1.2024521372038721,0.22918839948609848,-0.021932295486437874,0.09156166346053371
BTC,7,t-7,Robustness,Baseline,BTC_Return_Lag_7,-0.01411919820060304,0.02461742330301078,-0.5735449249424989,0.5662757901263181,-0.062368461266681226,0.034130064865475145
BTC,7,t-7,Robustness,Baseline,Log_BTC_Volume_Lag_7,-0.0014169116010401815,0.0012017009485227358,-1.1790883603628728,0.23836299295565222,-0.003772202180332365,0.0009383789782520021
BTC,7,t-7,Robustness,Baseline,SP500_Aligned_Lag_7,-0.05851593838269729,0.12469774677971623,-0.46926219513868306,0.6388822340860589,-0.3029190310242366,0.18588715425884203
BTC,7,t-7,Robustness,Baseline,VIX_Aligned_Lag_7,-0.0006286283799005324,0.0007343430843151625,-0.8560418057000998,0.39197465580584645,-0.002067914377454311,0.0008106576176532464
BTC,7,t-7,Robustness,Baseline,Gold_Aligned_Lag_7,0.01353766784855103,0.07385187800366788,0.1833083763676081,0.8545560623673224,-0.13120935322928384,0.15828468892638592
BTC,7,t-7,Robustness,Baseline,DXY_Aligned_Lag_7,0.02325858635496381,0.21244622665192733,0.10947987507949841,0.9128218831728563,-0.3931283665342471,0.4396455392441747
BTC,7,t-7,Robustness,Baseline,US10Y_Aligned_Lag_7,-0.019313973593595518,0.013012250692620306,-1.4842915380157204,0.1377315942445944,-0.0448175163089377,0.006189569121746657
BTC,7,t-7,Robustness,Cross_Crypto,const,0.03556486750949727,0.028984032142910215,1.227050374983689,0.2198036578899335,-0.021242791617358037,0.09237252663635258
BTC,7,t-7,Robustness,Cross_Crypto,BTC_Return_Lag_7,0.004737267606795661,0.03702160024002569,0.12795955809803142,0.8981809778339747,-0.06782373551369411,0.07729827072728543
BTC,7,t-7,Robustness,Cross_Crypto,ETH_Return_Lag_7,-0.02072103620446442,0.030242097158643896,-0.6851719342003987,0.49323543193818564,-0.07999445745236755,0.03855238504343872
BTC,7,t-7,Robustness,Cross_Crypto,Log_BTC_Volume_Lag_7,-0.0014480296196827608,0.0012028921403898565,-1.2037900748220496,0.2286707268326852,-0.003805654892133178,0.0009095956527676564
BTC,7,t-7,Robustness,Cross_Crypto,SP500_Aligned_Lag_7,-0.05238640983243093,0.1242151886097735,-0.4217391642579615,0.6732154146727081,-0.29584370584043695,0.19107088617557508
BTC,7,t-7,Robustness,Cross_Crypto,VIX_Aligned_Lag_7,-0.0006547702019163408,0.0007388560189437894,-0.8861945834214748,0.37551268195893694,-0.002102901388806812,0.0007933609849741305
BTC,7,t-7,Robustness,Cross_Crypto,Gold_Aligned_Lag_7,0.012356542251523163,0.07392082767841322,0.16715914363512452,0.8672448306998303,-0.13252561770555832,0.15723870220860464
BTC,7,t-7,Robustness,Cross_Crypto,DXY_Aligned_Lag_7,0.020842002212579074,0.21229784113753414,0.09817340629044305,0.9217945991409555,-0.3952541204125937,0.4369381248377519
BTC,7,t-7,Robustness,Cross_Crypto,US10Y_Aligned_Lag_7,-0.019661975529134,0.013037325909996903,-1.508129478765072,0.13152139182478711,-0.045214664767438816,0.005890713709170818
ETH,7,t-7,Robustness,Baseline,const,0.03544392440241303,0.03165517153691202,1.119688274665739,0.262846623377048,-0.026599071734371954,0.09748692053919801
ETH,7,t-7,Robustness,Baseline,ETH_Return_Lag_7,-0.0014636921516555674,0.028399058238243055,-0.05154016514831165,0.9588950972047662,-0.05712482349346747,0.05419743919015634
ETH,7,t-7,Robustness,Baseline,Log_ETH_Volume_Lag_7,-0.0014869579606296398,0.001362476733729969,-1.0913639285119285,0.2751127780366627,-0.004157363288514148,0.0011834473672548687
ETH,7,t-7,Robustness,Baseline,SP500_Aligned_Lag_7,0.001508247187013135,0.15258506631689817,0.009884631723269125,0.9921133333880253,-0.297552987372763,0.30056948174678927
ETH,7,t-7,Robustness,Baseline,VIX_Aligned_Lag_7,-0.0004934966609431558,0.0008707125970857353,-0.5667733102689491,0.5708682059591847,-0.0022000619921165323,0.0012130686702302206
ETH,7,t-7,Robustness,Baseline,Gold_Aligned_Lag_7,0.046707547268422786,0.09950615161355078,0.46939356523222364,0.6387883470046327,-0.1483209261343189,0.2417360206711645
ETH,7,t-7,Robustness,Baseline,DXY_Aligned_Lag_7,0.14032523541563757,0.27585027500722925,0.5087007269141205,0.610962012804564,-0.4003313687240011,0.6809818395552762
ETH,7,t-7,Robustness,Baseline,US10Y_Aligned_Lag_7,-0.007251581669151919,0.016570631324806892,-0.4376164991551054,0.6616643088172804,-0.03972942226686467,0.02522625892856083
ETH,7,t-7,Robustness,Cross_Crypto,const,0.03433080866231933,0.03138346053540055,1.0939140578074291,0.2739926726487837,-0.027179643697299874,0.09584126102193853
ETH,7,t-7,Robustness,Cross_Crypto,ETH_Return_Lag_7,-0.01766537806436362,0.04282785566805177,-0.41247402628055074,0.6799920145890621,-0.1016064327088247,0.06627567658009746
ETH,7,t-7,Robustness,Cross_Crypto,BTC_Return_Lag_7,0.026748162260889607,0.047795111614563256,0.5596422177354932,0.5757235024113114,-0.06692853514072641,0.12042485966250563
ETH,7,t-7,Robustness,Cross_Crypto,Log_ETH_Volume_Lag_7,-0.0014396376775106451,0.0013510508427464667,-1.0655688386856677,0.2866185918319458,-0.004087648670576208,0.001208373315554918
ETH,7,t-7,Robustness,Cross_Crypto,SP500_Aligned_Lag_7,-0.0031746489966413003,0.15264320577332027,-0.02079784016955035,0.9834069206624682,-0.3023498347970855,0.29600053680380284
ETH,7,t-7,Robustness,Cross_Crypto,VIX_Aligned_Lag_7,-0.0005047668104357933,0.0008703717910335996,-0.5799438994183893,0.5619524503945222,-0.0022106641740212703,0.001201130553149684
ETH,7,t-7,Robustness,Cross_Crypto,Gold_Aligned_Lag_7,0.04545695413624379,0.0993275550641591,0.45764696520398157,0.6472060960194888,-0.14922147646192713,0.2401353847344147
ETH,7,t-7,Robustness,Cross_Crypto,DXY_Aligned_Lag_7,0.14252904721739373,0.27619914272359464,0.5160372541779726,0.6058283900083499,-0.39881132508168987,0.6838694195164774
ETH,7,t-7,Robustness,Cross_Crypto,US10Y_Aligned_Lag_7,-0.007651008333527069,0.01659027152424269,-0.46117438899941815,0.6446734947235668,-0.04016734301478317,0.024865326347729033
